policy/Entropy,ProcessExecTime,MinReturn,MaxReturn,StdReturn,PolicyExecTime,EnvExecTime,policy/LossBefore,policy/LossAfter,Perplexity,AverageDiscountedReturn,AverageReturn,policy/KL,Iteration,NumTrajs,Entropy,LinearFeatureBaseline/ExplainedVariance,policy/KLBefore,policy/dLoss,Extras/EpisodeRewardMean
0.66310215,0.05012655258178711,8.0,45.0,6.527286476783442,0.7571287155151367,0.08951115608215332,-1.3029907677264418e-06,-0.013920276425778866,1.8651305782468308,14.409245130779523,15.6875,0.009625191,0,256,0.6233310657905867,3.05079908002881e-08,0.0,0.01391897343501114,15.86
0.6837206,0.029450178146362305,8.0,49.0,7.007393936736152,0.6273014545440674,0.086273193359375,-2.96761989981853e-11,-0.027096755802631378,1.9417484783420587,14.655412045786747,16.00398406374502,0.0063598086,1,251,0.6635888446644523,0.41056328463478475,0.0,0.02709675577295518,15.66
0.68864805,0.029395341873168945,8.0,63.0,9.59472374407617,0.6283814907073975,0.08725738525390625,1.525878978725359e-08,-0.03219445049762726,1.98307633471194,17.36749268675767,19.41747572815534,0.007911079,2,206,0.6846493433564901,0.2891782046116156,0.0,0.032194465756417046,19.24
0.6762357,0.028393268585205078,9.0,74.0,13.419014195740164,0.6357817649841309,0.08528017997741699,8.285194041945942e-08,-0.03150742128491402,1.9912943475903426,21.971962373525642,25.54140127388535,0.0068463082,3,157,0.6887848532259315,0.27939757136497834,0.0,0.031507504136854436,25.87
0.65528995,0.02834916114807129,10.0,100.0,20.32191913953579,0.6509957313537598,0.0865476131439209,-7.610871932683949e-08,-0.03235181048512459,1.965617252652523,26.972340520601175,33.1900826446281,0.0072224196,4,121,0.6758063194820605,0.2221525716763535,0.0,0.03235173437640526,34.78
0.6318211,0.027371644973754883,11.0,100.0,27.212928961135496,0.6446256637573242,0.0896754264831543,9.997047101251155e-08,-0.024152209982275963,1.9254769465722783,37.80492773328629,50.74683544303797,0.0060681133,5,79,0.655173701504336,0.22738712233966685,-6.336458e-12,0.024152309952746975,49.27
0.6163529,0.028148651123046875,11.0,100.0,26.36010448726571,0.6970629692077637,0.09563159942626953,2.4941160248204142e-08,-0.012941699475049973,1.8842476407325037,51.71122024342841,76.11320754716981,0.006128156,6,53,0.633528611641682,0.43975457037191457,0.0,0.01294172441621022,64.9
0.57514125,0.02585744857788086,10.0,100.0,32.295016833017726,0.6249549388885498,0.08202075958251953,-2.2016925171897128e-08,-0.027702270075678825,1.8547315428951605,48.914207602874434,72.32142857142857,0.009429663,7,56,0.6177399647750972,0.4728613372285595,0.0,0.027702248058753653,74.09
0.5863895,0.02756023406982422,57.0,100.0,8.424434012761578,0.6947906017303467,0.08924555778503418,5.497019017752791e-08,-0.006577335763722658,1.8122388195957557,62.15448918928517,97.07142857142857,0.0052608717,8,42,0.5945629978299813,0.8311783051238579,-8.464983e-12,0.006577390733912836,82.83
0.57001144,0.029750585556030273,58.0,100.0,10.107921053669289,0.8327164649963379,0.0982201099395752,-2.5172266049366954e-08,-0.013863204047083855,1.8273190028671984,62.00460660638247,96.85714285714286,0.007015758,9,42,0.6028498668981864,0.9125636770881913,-2.0635217e-11,0.013863178874817805,96.03
0.5524823,0.026050806045532227,100.0,100.0,0.0,0.675940752029419,0.08379268646240234,-4.315376145314076e-08,-0.01028007734566927,1.7907600851108227,63.39676587267702,100.0,0.007830461,10,40,0.582640158277005,0.985013351890994,0.0,0.010280034191907816,98.0
0.57877517,0.024449586868286133,100.0,100.0,0.0,0.6144933700561523,0.08071613311767578,-6.1988831845383174e-09,-0.004498628433793783,1.764656875087768,63.39676587267702,100.0,0.0072327824,11,40,0.5679562664367258,0.9999995354680331,0.0,0.004498622234910599,99.17
0.56349856,0.02530503273010254,100.0,100.0,0.0,0.6766393184661865,0.08275318145751953,1.4305114426349519e-08,-0.004197821952402592,1.793206822291548,63.39676587267702,100.0,0.0061960784,12,40,0.5840055378265678,0.9999995368356791,-7.8915815e-12,0.004197836257517018,100.0
